area_sqft,bhk,bathrooms,age,parking,lift,location_rating,floor,furnished,latitude,longitude,price_lakhs
3802,1,1,25,1,0,1,2,1,13.105437361762753,80.52191336984765,285.81
2694,3,3,11,1,0,5,0,1,13.020353010166826,77.67335857275171,424.51
1792,3,1,15,1,1,4,7,1,13.029231010392026,77.33424588643305,354.98
3689,2,1,6,1,1,2,0,2,19.047973300848817,72.89163416159654,624.62
2461,3,3,31,0,1,3,9,0,17.47139972594341,78.43224050265886,284.0
612,2,2,27,0,1,3,18,1,17.227909668628037,78.24666483565561,167.24
3449,3,2,19,1,1,5,13,0,23.260801491112673,72.27980115410645,278.4
2220,4,4,24,0,0,4,19,1,12.917646991314744,77.62522830851118,452.02
1376,2,2,13,1,0,3,13,1,12.78126428329295,77.5848670202902,290.48
536,2,1,13,1,1,2,12,1,13.081910313867288,77.787550325547,203.48
2389,3,2,1,1,1,2,11,0,12.78959749719509,80.05213137804128,317.87
3168,2,1,18,1,0,2,13,0,26.711770021253646,75.92982016985583,214.89
992,3,2,6,1,0,4,16,2,19.142242800204777,73.14658407823465,452.13
2416,3,2,15,0,1,1,12,0,18.593999530542995,73.84054238522022,301.32
3060,2,1,10,1,1,1,6,0,26.658659206447375,75.48840363437547,195.43
3304,3,1,23,1,1,5,16,1,17.50036593871071,78.69651739093919,349.88
2813,3,3,9,0,1,2,15,2,26.7203452070764,75.82776713833158,223.23
1821,2,1,17,1,0,3,17,1,23.109727990375493,72.66210041026594,187.83
3342,3,1,1,1,1,2,11,1,23.20538618764054,72.59504089422848,274.02
315,2,2,33,0,1,3,12,1,17.64844061910774,78.6662699414642,144.16
1113,2,2,6,0,1,4,14,1,22.32701960106686,88.26482227829705,179.73
2350,3,3,5,1,1,5,15,0,17.67763343384162,78.44366388024152,306.55
3715,2,2,29,1,1,3,12,2,17.531011693736176,78.22599184568973,331.13
1184,4,2,1,1,0,2,2,2,18.700461812277926,73.93386675379769,282.75
3036,3,3,17,1,0,3,5,1,22.720722962455337,88.08391909614029,254.88
1518,5,4,26,1,1,3,1,1,26.835613110207387,75.6428522702562,216.58
1499,3,2,22,1,1,2,7,2,13.092647412266171,80.51390823166675,268.07
2296,2,2,11,1,1,1,15,2,23.225207997018202,72.69048287700157,197.58
655,3,2,28,1,1,1,18,2,20.873087102452832,73.02296815044487,143.45
2703,3,1,6,0,0,5,13,1,13.007906587385298,77.36350631406815,440.44
999,1,1,29,0,0,1,1,1,13.051573135880368,77.853216863306,158.21
2871,1,1,34,0,0,2,17,2,17.490631354312054,78.45457498420619,234.85
1247,3,3,6,0,0,3,10,1,19.043541623826048,72.741175999769,426.4
3144,3,3,3,0,1,3,2,2,22.36263473506854,88.32240088062557,276.71
2650,2,2,15,1,0,3,0,1,13.21765360356847,80.41750220721858,290.89
3895,3,3,19,1,0,1,16,0,22.815194822896668,72.54421618076317,272.43
2335,1,1,11,1,1,1,13,1,13.036383868957602,77.44252397336201,261.44
1313,2,2,11,1,1,1,7,1,18.628273975815596,73.79332705032797,206.6
1867,3,1,2,1,1,3,18,0,18.365227009517515,74.14799755596029,301.64
2439,3,2,3,1,0,1,0,2,18.269505120664252,74.0507084281381,301.5
1217,2,2,9,1,1,2,9,0,20.932740704200643,72.91285814972619,149.54
2013,3,3,28,1,1,2,2,0,22.821399688593697,72.53516432989373,197.6
3361,3,3,22,1,1,3,13,1,12.781270749413219,77.76781910428548,462.17
2289,3,2,3,1,1,4,9,1,12.804336674953394,77.54503987320058,421.69
1202,3,2,14,1,1,4,4,1,17.307623257790762,78.77958973824163,221.65
3213,3,2,20,1,1,2,18,1,13.330418007370016,80.0963973134034,369.88
3923,4,1,9,1,1,2,11,1,12.979569123123483,77.54181870478861,536.29
2151,2,2,10,1,0,1,1,2,18.22541824247773,73.90904758000435,248.29
600,2,2,24,1,1,2,9,1,22.81045394094685,72.54166030112825,122.72
875,2,1,23,1,1,4,14,2,26.73550472602206,75.55415177163864,143.25
2681,1,1,15,0,1,3,5,0,12.725133350533945,77.3559853742744,329.97
3040,3,3,1,1,1,3,17,1,28.72334699329578,76.877444907084,503.12
1659,4,4,27,1,0,5,5,2,28.510289873668434,77.2175755713357,452.81
3909,4,1,23,0,1,4,0,1,17.64952521380284,78.68310333022713,410.39
2708,2,2,29,1,1,1,15,2,12.83728901717223,80.14321135731838,281.56
793,4,3,29,1,1,3,12,2,18.292125433222363,73.8826934587765,265.74
3072,2,2,28,1,0,5,0,0,26.835951074977604,75.6233617763579,216.58
1261,3,3,14,1,1,4,11,0,21.18597427836138,72.6786417952788,178.24
3130,2,2,29,1,1,3,12,2,28.66251725492282,77.34002857390408,433.83
1088,3,3,1,0,1,5,19,1,28.961763526453193,77.12135612800343,382.55
3515,1,1,17,1,1,2,10,0,23.23864947596835,72.75186865725442,210.5
744,2,2,28,1,0,5,9,0,17.08655040890699,78.56979112347598,171.72
3073,3,2,26,1,0,1,9,2,12.995052827581631,80.11212233538468,327.13
3983,2,2,10,0,1,1,17,0,18.91714135088119,73.09855577479063,634.87
930,3,2,20,0,0,3,9,0,17.464209291612253,78.22207276846513,196.78
3968,3,2,24,1,0,3,3,2,22.619032150203843,88.22749639993589,305.34
1043,3,3,32,1,0,1,6,0,28.715435874544962,76.84256753815534,278.62
3123,4,2,32,1,0,3,5,0,13.010085854091521,80.18776656310759,386.03
2701,2,2,30,0,1,1,15,1,19.029613468037713,73.07008386634065,486.64
647,5,5,30,1,1,1,19,1,22.32547465926961,88.51616225229809,207.83
1312,4,4,1,0,0,2,12,1,17.137585648058305,78.74917469381863,241.49
2025,2,2,29,1,1,4,4,1,28.704691799509206,77.04030726645753,369.38
893,3,2,11,1,1,3,15,0,18.711241002444563,73.74951678670784,244.37
1092,3,1,4,1,1,5,19,1,12.911197816663387,77.38182439529734,335.51
2829,1,1,31,0,1,4,11,2,13.04249872699808,80.15708967985115,256.35
3019,2,2,33,1,0,3,4,2,18.495880254261593,73.59089827730328,325.19
1576,3,3,26,1,0,5,8,2,12.831232445512915,77.40065983271074,367.61
1938,2,1,6,1,1,2,4,2,28.673870789292796,76.91877350709247,353.45
2502,2,2,28,1,1,2,5,0,22.72817389387328,88.1452658234374,194.55
2309,2,1,17,0,0,1,2,0,13.170654074077506,80.26960030098716,241.82
928,3,3,1,1,1,3,8,1,22.787739138988165,88.29843623291708,184.38
2476,4,4,2,1,0,4,7,1,26.994320886084967,75.88261235332348,245.47
2547,2,1,12,1,0,4,0,1,18.248698492236464,73.57881310894247,312.17
707,2,1,30,1,0,4,10,2,19.341389233803916,73.0473056060606,356.49
3862,2,1,5,1,0,2,5,0,19.084794551944107,73.11634049440373,617.76
3309,3,3,31,1,1,2,17,1,26.687140142259697,75.77160166594373,244.27
2721,3,3,4,1,1,2,10,0,12.738484777307884,77.65311894541061,400.57
3332,2,2,15,0,0,1,2,1,21.060153486406968,73.0585611959987,207.38
3290,2,1,14,1,1,4,10,1,27.06391240154804,75.64859877898122,240.44
2888,3,3,8,1,1,4,12,1,13.126911006645923,77.74005427164596,448.24
1002,2,2,6,0,1,1,4,0,19.052934484651875,72.58259897189625,318.68
2223,1,1,1,0,1,3,1,1,17.55527507069124,78.5195359084792,203.52
2581,3,2,23,1,0,2,19,1,18.309332830199466,73.73936252929413,323.33
2229,4,3,9,1,1,5,9,1,28.617295806264814,77.27851839876625,483.18
2620,3,3,6,1,0,2,19,1,28.766092599957872,77.20788076233582,438.05
3690,1,1,11,1,1,5,3,1,19.040119398773296,72.66547151602377,616.22
2460,2,2,7,1,1,4,12,0,22.65453195868214,88.36069983046794,230.14
2484,5,5,25,1,0,1,12,1,22.82977015372541,88.5325491639108,277.36
1749,4,2,30,1,0,1,9,2,19.199611404598414,72.95570238757402,521.19
2161,1,1,4,1,1,5,11,0,28.425772573568103,76.96743191185733,348.64
3591,3,2,19,1,1,1,12,0,22.36582908264207,88.5748537740422,276.76
3904,3,1,8,1,1,2,10,2,26.948100910077105,76.04909347721986,268.77
2839,3,2,14,0,1,2,4,1,21.148359492013004,73.11420319777892,219.28
2508,2,2,28,1,1,5,1,1,26.937527482037254,75.96201999307202,206.2
828,3,2,29,1,1,5,1,1,17.214654271911186,78.24553750614358,215.31
3457,2,2,25,1,1,1,6,2,22.598908655450707,88.51805501072147,252.01
2561,1,1,14,1,0,3,8,1,28.854437704199608,77.1367884432696,337.8
2291,2,2,29,1,1,3,17,0,19.04064329495047,72.69436556382671,485.06
307,2,1,14,1,1,2,9,1,21.204692115157524,72.63062058804972,98.75
2198,5,1,7,0,0,5,15,0,12.936194051021008,77.66317881504187,503.84
2110,4,4,24,1,1,5,12,1,18.818246894248997,74.1438694747127,364.19
1860,1,1,10,1,0,5,2,0,13.297906231894299,80.46143810831698,229.55
945,3,3,24,1,1,1,1,2,13.199893148371016,77.6092609475274,254.73
489,3,3,1,1,1,2,10,1,21.24255714048706,72.74242496796579,141.75
2967,3,3,8,1,0,2,1,1,12.785290280474609,80.37900168944097,337.78
1267,1,1,32,1,1,5,2,2,17.329983805655672,78.6425492398365,170.99
759,2,1,22,1,1,3,1,1,28.680214962721156,77.3207381657136,226.89
2204,1,1,21,1,0,1,18,2,28.899623430999945,77.22158922507573,303.49
2520,5,1,16,1,0,5,3,0,28.549136296955304,76.80944242176639,547.45
2062,2,2,5,1,0,4,7,2,12.981244802325465,80.17424350600973,273.64
3498,3,3,6,1,0,4,2,0,23.19649650795324,72.61600960738113,271.34
2286,3,1,26,1,1,1,1,2,13.126063411228994,80.28046781105301,290.63
2679,4,1,16,1,1,5,18,1,23.196281358343214,72.65576333670661,284.23
1729,3,3,13,0,0,3,8,1,28.7844624188258,76.84455932968027,381.31
2236,1,1,9,1,0,2,0,1,26.895782807657305,75.86051181743785,135.68
2147,3,1,27,0,0,2,6,2,28.74722918602158,77.10960063557386,380.16
2729,2,1,18,0,0,1,6,1,18.641355259618997,74.15169010339943,278.6
3539,2,1,23,1,0,2,6,2,17.517836070663776,78.70472830174744,297.38
3352,4,1,15,1,0,1,3,1,22.344615000291114,88.31436867411249,291.02
3002,3,2,6,1,0,3,12,0,21.251657627845727,73.07897216854575,245.16
3922,4,4,29,0,1,3,15,2,27.104007577471613,75.90392942420559,284.43
2298,1,1,4,1,1,4,10,1,22.675779973436658,88.22822870455325,204.98
2321,3,3,1,1,1,4,14,2,12.842324170584382,80.50379121981054,332.83
978,3,3,28,0,1,1,14,0,22.73826865594345,72.65949343177189,146.09
1750,2,2,24,1,1,5,7,1,18.906735532552993,73.16982157969335,491.39
3184,2,2,32,1,0,3,13,0,12.904792055968121,77.39001496187791,391.49
2609,3,3,5,0,1,5,9,1,12.956403857089892,77.56047662789945,435.48
2236,2,2,31,1,1,5,1,0,28.55214445600055,77.3051295289417,391.64
1877,4,4,14,1,0,4,10,1,18.984366223418306,72.9252805605962,590.77
2486,2,1,18,1,0,1,18,0,12.909082645958591,77.31767571973454,315.12
2960,3,3,8,1,1,5,14,2,17.163391406294078,78.66130587656492,345.52
2260,4,4,29,0,1,4,11,2,28.69915866006344,76.98346848697363,484.17
3473,3,2,11,1,1,1,18,1,28.92334628737473,77.39044360615006,509.48
1202,5,1,27,1,1,1,0,2,28.441474556171443,77.33207885779164,402.69
1336,5,5,4,1,1,5,10,2,13.09933570850388,80.3495264659795,364.36
3918,2,1,5,0,1,2,16,0,26.613390528742887,75.51349716170671,242.9
324,3,3,22,1,1,1,0,2,28.772162468542476,76.85516282838181,229.12
713,1,1,27,0,1,5,1,0,28.464564719986512,77.32336655136749,216.2
3283,2,2,19,1,0,2,12,1,12.798667482699681,77.81204046011419,382.34
1890,4,4,34,1,0,5,18,1,23.111690467594318,72.34575240707923,244.28
482,3,2,25,1,1,4,19,1,17.230159008189318,78.61537157950394,201.66
1353,3,1,12,1,1,2,17,2,18.653032931630307,73.71892822844674,267.87
3962,2,1,6,0,0,1,17,1,17.28922244778346,78.7512691034417,316.37
2246,4,4,17,1,1,1,5,1,27.190447049894065,75.54057371471535,215.76
770,3,1,8,1,1,5,10,1,21.449628503077207,72.98762267415047,175.34
832,3,3,23,1,0,4,8,1,26.67858651475109,75.86765448717196,157.0
1559,1,1,22,1,1,2,15,1,19.29785790600903,73.01529781657527,342.98
1496,1,1,11,1,0,3,5,1,22.5090785445669,88.49092412996957,149.43
1388,4,4,22,0,0,2,11,0,18.632826666301607,73.70113333013248,286.0
686,2,1,23,1,0,3,3,0,19.01458854775522,73.03438541921315,310.51
3527,2,1,7,1,0,5,9,2,22.75629332241893,88.13512433747235,292.23
2866,2,2,23,0,0,4,12,2,21.37823649619034,72.54515697878732,218.03
524,3,3,27,0,0,3,8,2,23.084975083428965,72.55604052889694,148.8
1925,5,5,3,1,1,4,8,0,28.83937632016465,77.17384074285985,507.67
325,4,3,16,0,1,4,14,0,26.997691348880103,75.97291611241636,159.95
2023,3,3,9,0,0,4,8,1,18.300564910541365,74.13076047263405,317.3
2362,2,2,14,1,1,2,13,1,12.931689601325681,77.3203399655858,332.56
2678,3,3,4,0,1,4,2,1,17.329004441999153,78.75881201270734,299.55
1655,2,1,17,1,0,2,5,0,27.08755706977303,76.03173927626777,147.6
819,2,2,3,1,0,3,6,2,22.848100670837248,88.52114744131994,150.99
3415,1,1,7,1,0,3,9,1,18.72882525376089,73.99331686536196,314.4
648,3,1,25,1,0,3,1,2,26.63894677939737,75.94360475409724,137.49
1279,1,1,8,0,1,5,19,1,17.42930475246271,78.4363623375444,181.63
1724,2,1,6,1,1,3,2,1,17.588795793425277,78.27328861018889,222.95
3674,4,2,30,1,1,2,19,1,22.39480806543437,88.41767818195511,316.63
1881,2,1,8,0,1,5,0,1,22.75852714860475,88.56449555674631,198.97
1293,3,3,31,0,1,5,19,1,28.426542654239345,76.87872008073346,381.54
1973,2,2,14,1,0,3,14,0,12.969050723005653,80.40903484193852,234.22
3098,2,1,12,1,1,5,15,2,28.512968380653962,77.02456460489466,494.34
571,1,1,25,0,0,1,16,2,17.110453378924138,78.34619568253328,95.26
1883,2,1,14,1,1,1,18,1,28.963754917541802,77.29850379192393,330.26
3372,2,2,18,0,0,1,12,0,18.619087716543042,73.65039576800109,326.64
3946,3,3,34,1,1,4,3,1,17.10011604837554,78.6903983966308,367.6
3075,3,3,29,1,1,3,0,1,28.693358616751315,76.87309541526105,485.85
958,2,2,25,1,1,4,1,2,19.17962179652534,73.05500883831482,374.52
3997,4,3,17,0,0,1,16,0,19.010409266591562,72.69185660829972,732.33
3249,2,1,7,1,0,3,0,0,17.34466012775956,78.59826632993314,287.29
751,5,4,28,1,0,3,19,0,22.43779146507951,88.3222113565567,220.5
1715,1,1,25,0,1,5,8,2,27.034732656816466,75.74063718213637,146.24
1077,3,3,19,1,1,2,10,1,18.879266361693666,73.13231332471112,384.71
2900,1,1,16,1,1,5,1,2,28.627955888677658,77.14019598261726,425.19
1044,3,3,33,1,1,2,9,1,18.347851005210885,74.11943425758031,227.05
3238,3,3,1,1,0,1,16,1,13.34476028364793,80.29519404493385,354.27
475,3,2,8,1,0,3,14,0,18.480641991403964,73.99006869070999,223.29
3262,3,1,15,0,1,5,14,2,20.878247332406808,72.68002575622188,271.99
2643,2,2,32,0,1,2,15,1,13.202978584908353,77.52397054378531,339.36
3814,2,2,32,1,1,3,13,0,28.866445518543333,77.05849739021406,498.0
1692,4,1,26,0,1,2,10,1,22.772185880486376,88.3626590619201,222.93
3623,2,2,7,1,1,3,12,1,12.973578745578077,77.32770564640846,447.39
1122,3,2,34,1,0,5,4,2,17.650518784512073,78.63506598372022,233.29
2968,4,3,31,0,0,4,9,1,18.990131585102667,72.78927349524186,704.14
2137,4,4,19,1,0,1,5,1,22.573879483530924,88.17931784076214,241.09
2608,3,1,23,1,1,1,8,0,18.624187250484944,73.66355195344356,304.55
1368,2,1,33,1,1,1,16,1,22.7114483188876,88.59199748939963,156.63
1973,3,3,1,1,1,3,14,2,21.213147322310363,73.12274800317084,223.61
318,3,3,34,0,0,5,0,1,17.40450243984959,78.25623678530735,179.32
544,2,1,11,1,0,5,16,1,17.548792032783354,78.7578652172354,183.23
550,3,3,6,1,1,4,15,0,27.046066197412948,75.80839395960855,158.22
3464,4,1,28,1,0,2,8,2,17.364785853684104,78.23241983638587,370.27
683,2,2,29,1,1,4,14,0,19.16499080447126,72.62146325354492,328.39
2680,4,4,6,1,0,3,2,1,12.89551996425573,77.33522820663437,450.22
3190,3,3,3,0,0,1,8,0,28.886696785459094,77.2656857439742,441.24
2255,3,2,3,1,0,5,18,1,27.05735191231945,75.58892860363045,229.62
2748,2,2,32,1,1,2,4,1,21.324960375233637,72.71514270791674,195.73
2875,2,2,33,1,1,4,10,0,18.266183001628523,73.97369368708274,331.27
3689,3,3,32,1,1,1,12,2,12.949868828302506,77.46107452782414,455.72
3250,2,2,20,1,1,4,4,2,28.494364861930965,76.9323385318718,452.0
907,2,1,29,1,0,5,6,2,13.278249398474369,80.47692280865313,210.48
1505,3,2,8,1,0,3,9,0,17.364495451933877,78.52969737917341,229.11
1311,4,4,24,0,0,5,2,0,18.78628986914912,73.12696198098544,524.57
1291,2,2,20,1,0,3,15,1,17.326400973142402,78.42135616454907,197.14
3030,3,1,10,0,1,3,13,1,19.14711623523091,72.9568435920997,622.29
3934,2,2,31,1,1,1,13,0,13.055858605531597,80.37487178130044,332.77
1398,2,1,12,1,1,1,9,1,22.720676609855623,88.54915515201972,164.81
1978,2,2,13,1,1,2,19,1,17.099979733272036,78.28986050602632,215.0
3593,4,4,9,1,0,5,16,0,28.956784507327786,77.15191448256627,590.24
3223,2,2,15,0,1,1,19,2,23.25274888991123,72.66742724607934,231.91
1243,2,2,11,1,0,3,19,0,23.137727085631923,72.63382373303197,155.34
3635,4,4,5,0,0,5,11,2,27.123528452747582,76.04977913886034,301.8
1394,2,2,15,0,1,4,14,0,13.255846078747378,77.74957550415108,278.15
883,2,2,24,1,0,4,9,0,22.93619184908433,72.67639652488744,139.06
2730,5,5,33,1,1,5,5,2,18.402174362886303,73.74301389710902,445.64
3516,2,2,4,1,1,5,1,1,22.70700364577947,88.40757254505412,287.47
1594,1,1,22,1,1,4,17,1,21.263633013185423,72.86674731267921,153.07
1534,3,1,17,0,1,3,7,0,18.790866895397855,73.6612949764288,282.97
569,3,3,27,1,1,4,2,0,20.97970266792129,73.02642657093641,153.79
2955,4,1,29,1,1,3,11,1,18.72707251089762,74.0335558322861,400.75
2634,2,2,15,0,0,5,12,2,27.08755688792548,75.86339736105441,209.15
2273,2,1,20,0,0,2,12,2,17.450964935157632,78.74171348123913,239.49
1820,3,1,19,1,1,1,6,2,13.008483009507652,80.39487310094037,272.56
3128,3,2,14,0,1,3,19,1,12.952998111560287,77.75813164511892,450.76
2148,2,2,34,1,1,1,14,1,17.54902862866935,78.73597951904678,212.33
371,4,4,34,1,0,3,10,1,23.113909409997333,72.39846886961281,171.3
3778,4,2,27,1,0,3,16,1,22.899265543704633,72.29689950030985,313.19
967,3,2,16,0,0,5,18,1,22.48224795000612,88.61075860286482,193.42
3659,3,3,16,1,0,3,0,0,21.465017644023472,72.8556017393566,251.95
771,2,2,8,0,0,4,13,1,23.270939608252874,72.38563605073091,145.55
3381,2,1,32,1,0,3,11,2,22.87267492257594,72.70227234108332,247.52
2698,2,2,31,1,1,1,1,0,22.477264572518155,88.3209745718679,201.42
2088,3,2,20,1,0,1,4,1,18.247149513411333,73.6867452249512,294.88
2287,3,1,7,1,1,3,7,1,22.468076823514664,88.06948665018112,242.84
2213,3,3,6,0,1,2,0,1,13.153166416430702,80.48807943820488,293.71
1925,3,3,7,1,0,2,14,0,22.34142079090818,88.07935000717049,205.32
2458,3,1,14,1,0,3,12,2,12.877982340063369,80.00107153323968,324.49
2949,2,2,18,1,1,3,13,0,18.303759320415878,73.90188346253464,327.42
1315,4,4,13,0,1,2,14,1,13.02764886300164,80.06673128718506,284.27
2493,2,1,21,1,0,4,14,1,13.235089294928493,77.69106663948298,365.25
1998,2,1,18,1,1,3,3,1,28.809493755062444,77.19689589457855,343.64
1107,2,2,31,1,0,5,1,1,28.54282838182611,77.10345637229983,305.3
1175,4,2,19,1,1,2,17,1,22.980074742309277,72.71089787842588,199.75
752,1,1,31,1,1,2,17,0,22.60048289391739,88.22763076312155,102.5
746,2,2,18,1,0,1,8,0,23.237314994235753,72.76425609215542,114.29
3905,2,2,24,1,1,1,11,1,19.18882733424448,72.64923254727344,598.11
1579,4,1,7,0,1,1,9,2,28.45447659735563,77.03786234453564,399.44
2986,1,1,1,0,0,5,12,1,22.4307094823933,88.23093559134786,230.96
1312,3,3,29,1,0,2,11,1,19.11572900945157,72.58075448261587,425.91
1126,3,3,27,1,0,4,11,1,20.968001988853437,72.6640691869154,168.78
2160,1,1,7,0,1,5,15,1,23.120677764525833,72.7943803288901,182.59
3144,2,2,16,0,0,5,19,1,13.223343226201122,80.17793525588992,337.47
3312,4,4,16,1,0,5,3,2,13.20941396655997,77.47237232256879,527.47
3358,2,2,20,1,1,4,17,1,22.365790182425314,88.50577056843855,276.96
2936,5,2,4,1,1,3,18,2,13.132803261187926,77.55461689888473,523.42
429,3,3,18,1,1,5,10,0,20.947504667145868,72.59072790768526,157.04
3596,3,3,34,1,1,2,9,2,17.14670555529449,78.26257311782761,353.08
1117,3,1,32,1,1,1,1,2,22.726242954203602,72.27280776257395,151.73
743,4,1,22,1,1,5,15,0,20.943204448146137,72.95182997133581,191.4
635,2,2,10,1,0,4,8,1,27.096054538273474,75.99220939690406,135.72
3779,3,2,4,1,0,4,4,1,19.114351740053376,72.87716712112466,724.58
2969,1,1,11,1,1,4,5,2,21.046012052864608,72.84628218441354,208.98
1419,3,3,15,1,0,5,15,0,27.0091007510684,75.86722695985932,189.12
2314,1,1,19,1,1,5,6,0,22.760060689394557,88.61755256476187,194.41
2456,4,3,21,0,0,3,16,1,12.871930477259594,80.02525925251975,329.41
2598,4,4,26,1,1,2,12,2,22.858436634303477,72.50593984777466,253.79
865,2,1,9,0,1,3,0,1,22.55787676274364,88.25398245681541,142.77
1151,3,1,2,1,0,3,11,1,13.092366897836671,77.74608326639576,306.27
3334,3,1,22,0,0,4,14,1,18.729975598301923,73.6737474300237,400.07
3571,5,3,9,0,0,1,19,1,28.903450310046154,77.38728381698841,593.97
1365,4,2,16,1,0,1,9,0,21.456219005927107,72.85786333618968,184.58
